TargetURL,Channel,Quality,Server,StartTime,Duration
https://dlive.sx/watch.php?id=18 | https://dlive.sx/watch.php?id=343 | https://embed.st/embed/admin/ppv-afc-bournemouth-vs-liverpool/1 | https://streamcenter.st/watch/event-espn-league-soccer-eng-1-401879276,5,480p,None,2026-09-20 6:00 PM,3h
https://dlive.sx/watch.php?id=19 | https://dlive.sx/watch.php?id=1010 | https://embed.st/embed/admin/ppv-leeds-united-vs-crystal-palace/1 | https://streamcenter.st/watch/event-espn-league-soccer-eng-1-401879273,5.1,480p,None,2026-09-20 6:00 PM,3h
https://dlive.sx/watch.php?id=20 | https://dlive.sx/watch.php?id=107 | https://embed.st/embed/admin/ppv-manchester-city-vs-sunderland/1 | https://streamcenter.st/watch/event-espn-league-soccer-eng-1-401879272,5.2,480p,None,2026-09-20 6:00 PM,3h
https://dlive.sx/watch.php?id=17 | https://dlive.sx/watch.php?id=53 | https://embed.st/embed/admin/ppv-fulham-vs-manchester-united/1 | https://streamcenter.st/watch/event-espn-league-soccer-eng-1-401878777,5.3,480p,None,2026-09-20 8:30 PM,3h
https://dlive.sx/watch.php?id=538 | https://dlive.sx/watch.php?id=155 | https://embed.st/embed/admin/ppv-atl-tico-madrid-vs-real-madrid/1 | https://streamcenter.st/watch/event-espn-league-soccer-esp-1-401882865,4.1,480p,None,2026-09-20 7:15 PM,3h
https://dlive.sx/watch.php?id=12 | https://dlive.sx/watch.php?id=105 | https://embed.st/embed/admin/ppv-deportivo-vs-real-betis/1 | https://streamcenter.st/watch/event-espn-league-soccer-esp-1-401882863,4.2,480p,None,2026-09-20 9:30 PM,3h
https://dlive.sx/watch.php?id=84 | https://dlive.sx/watch.php?id=106 | https://embed.st/embed/admin/ppv-villarreal-vs-levante/1 | https://streamcenter.st/watch/event-espn-league-soccer-esp-1-401882857,4.3,480p,None,2026-09-20 9:30 PM,3h
https://dlive.sx/watch.php?id=84 | https://dlive.sx/watch.php?id=153 | https://embed.st/embed/admin/ppv-valencia-vs-real-sociedad/1 | https://streamcenter.st/watch/event-espn-league-soccer-esp-1-401882858,4.4,480p,None,2026-09-20 11:59 PM,3h
https://dlive.sx/watch.php?id=77 | https://dlive.sx/watch.php?id=31 | https://embed.st/embed/admin/ppv-juventus-vs-atalanta/1 | https://streamcenter.st/watch/event-espn-league-soccer-ita-1-401874757,2.1,480p,None,2026-09-20 9:00 PM,3h
https://dlive.sx/watch.php?id=110 | https://dlive.sx/watch.php?id=31 | https://embed.st/embed/admin/ppv-ac-milan-vs-lecce/1 | https://streamcenter.st/watch/event-espn-league-soccer-ita-1-401874944,2.2,480p,None,2026-09-20 11:45 PM,3h
https://dlive.sx/watch.php?id=960 | https://dlive.sx/watch.php?id=425 | https://embed.st/embed/admin/ppv-marseille-vs-paris-saint-germain/1 | https://streamcenter.st/watch/event-espn-league-soccer-fra-1-401876449,3,480p,None,2026-09-20 11:45 PM,3h
